division = {
	name = "10ya Tankovy Korpus"
	location = 1409 #Vologda
	#leader = 9866  # V.G. Burkov
	is_reserve = yes
	
	regiment = { type = division_hq_veteran name = "HQ 10th Tank Corps" historical_model = 0  }
	regiment = { type = armor_brigade name = "178th/183rd Tank Brigades" historical_model = 6  }
	regiment = { type = motorized_infantry_bat name = "11th Motorised Rifle Brigade" historical_model = 3  }
	regiment = { type = assault_gun_brigade name = "Assault Gun Regiment 10th Tank Corps" historical_model = 4  }
	regiment = { type = sp_artillery_brigade name = "Self-propelled Artillery Reg. 10th Tank Corps" historical_model = 4  }
	regiment = { type = heavy_anti_tank_brigade name = "AT-Artillery Regiment 10th Tank Corps" historical_model = 4  }
	regiment = { type = truck_transport name = "Transport-Bat. 10th Tank Corps" historical_model = 0  }
}
