division = {
	name = "§YDai-48 Shidan 'Sea'§W"
	location = 5315

	regiment = { jap_fortyeighth_id  name = "Dai-48 Shidan 'Sea' shireibu" historical_model = 1 experience = 45 }
	regiment = { infantry_brigade  name = "1/2 'Formosa'/47 Hohei rentai" historical_model = 3 experience = 45 }
	regiment = { mixed_support_brigade  name = "Dai-48 Konsei ryodan" historical_model = 2 experience = 45 }
	regiment = { Recon_cavalry_brigade  name = "Dai-48 Kihei rentai" historical_model = 4 experience = 45 }
	regiment = { pack_artillery_brigade  name = "Dai-48 Sampohei rentai" historical_model = 3 experience = 45 }
	regiment = { engineer_brigade  name = "Dai-48 Kohei rentai" historical_model = 2 experience = 45 }
	regiment = { horse_transport  name = "Dai-48 Shichoheitai" historical_model = 3 experience = 45 }
}
