division= {
	name = "Sensha Dai-2 Shidan 'Torrent'"
	location = 5315
	regiment = { type = jap_third_armored = { name = "Sensha Dai-3 Shidan 'Torrent' shireibu" historical_model = 2 }
	regiment = { type = armor_brigade = { name = "5/6 Sensha ryodan" historical_model = 4 }
	regiment = { type = motorized_infantry_bat = { name = "Dai-3 Jidosha Hohei rentai" historical_model = 5 }
	regiment = { type = armored_engineers_brigade = { name = "Sensha Dai-3 Konsei ryodan" historical_model = 3 }
	regiment = { type = medium_artillery_brigade = { name = "Dai-3 Jidosha Yahohei rentai" historical_model = 3 }
	regiment = { type = armored_car_brigade = { name = "Sensha Dai-3 Shidan senshadan" historical_model = 4 }
	regiment = { type = truck_transport = { name = "Sensha Dai-3 Shidan shichoheitai" historical_model = 8 }
}
#EOF#
