black_sea_region;Black Sea;Mer Noire;Schwarzes Meer;;Mar Negro;;;;;;;;;x
baltic_sea_region;Baltic Sea;Mer Baltique;Ostsee;;Mar Báltico;;;;;;;;;x
kolabay;Kola;Kola;Kola;;Kola;;;;;;;;;x
mediterranean_region;Mediterranean Sea;Mer Méditerranée;Mittelmeer;;Mar Mediterráneo;;;;;;;;;x
belgium_ardennes;The Ardennes;Les Ardennes;Ardennen;;Las Ardenas;;;;;;;;;x
belgium_north;Belgium - North;Belgique - Nord;Belgien - Nord;;Bélgica - Norte;;;;;;;;;x
belgium_south;Belgium - South ;Belgique - Sud;Belgien - Süd;;Bélgica - Sur ;;;;;;;;;x
belgium_west;Belgium - West;Belgique - Ouest;Belgien - West;;Bélgica - Oeste;;;;;;;;;x
denmark_south_jylland;South Jutland;Jutland-du-Sud;Südjütland;;Jutlandia del sur;;;;;;;;;x
denmark_north_jylland;North Jutland;Jutland-du-Nord;Nordjütland;;Jutlandia del norte;;;;;;;;;x
denmark_fyn;Fyn;Fyn;Fünen;;Fionia;;;;;;;;;x
denmark_sjaelland;Zealand;Zealand;Seeland;;Zelanda;;;;;;;;;x
finland_region;Finland;Finlande;Finnland;;Finlandia;;;;;;;;;x
france_alsace;Alsace;Alsace;Elsass;;Alsacia;;;;;;;;;x
france_north_maginot;Northern Maginot Line;Ligne Maginot du Nord-Est;Nördliche Maginotlinie;;Norte de la Línea Maginot;;;;;;;;;x
france_verdun;Verdun;Verdun;Verdun;;Verdún;;;;;;;;;x
france_north_east;France - North East;France - Nord-Est;Frankreich - Nordost;;Francia - Noreste;;;;;;;;;x
france_south_maginot;Southern Maginot Line;Ligne Maginot Sud;Südliche Maginotlinie;;Sur de la Línea Maginot;;;;;;;;;x
france_reims;Rheims;Reims;Reims;;Rheims;;;;;;;;;x
france_noyon;Noyon;Noyon;Noyon;;Noyon;;;;;;;;;x
france_calais;Calais;Calais;Calais;;Calais;;;;;;;;;x
france_lille;Lille;Lille;Lille;;Lille;;;;;;;;;x
france_clefmont;Clefmont;Clefmont;Clefmont;;Clefmont;;;;;;;;;x
france_langres;Langres;Langres;Langres;;Langres;;;;;;;;;x
france_ronchamp;Ronchamp;Ronchamp;Ronchamp;;Ronchamp;;;;;;;;;x
france_besancon;Besancon;Besançon;Besancon;;Besançon;;;;;;;;;x
france_poligny;Poligny;Poligny;Poligny;;Poligny;;;;;;;;;x
france_mondane;Mondane;Mondane;Mondane;;Mondane;;;;;;;;;x
france_briancon;Briancon;Briançon;Briancon;;Briançon;;;;;;;;;x
france_nice;Nice;Nice;Nice;;Niza;;;;;;;;;x
france_toulon;Toulon;Toulon;Toulon;;Tolón;;;;;;;;;x
france_marseille;Marseille;Marseille;Marseille;;Marsella;;;;;;;;;x
france_grenoble;Grenoble;Grenoble;Grenoble;;Grenoble;;;;;;;;;x
france_dieppe;Dieppe;Dieppe;Dieppe;;Dieppe;;;;;;;;;x
france_dreux;Dreux;Dreux;Dreux;;Dreux;;;;;;;;;x
france_caen;Caen;Caen;Caen;;Caen;;;;;;;;;x
france_cherbourg;Cherbourg;Cherbourg;Cherbourg;;Cherburgo;;;;;;;;;x
france_argentan;Argentan;Argentan;Argentan;;Argentan;;;;;;;;;x
france_rennes;Rennes;Rennes;Rennes;;Rennes;;;;;;;;;x
france_mauron;Mauron;Mauron;Mauron;;Mauron;;;;;;;;;x
france_brest;Brest;Brest;Brest;;Brest;;;;;;;;;x
france_lucon;Lucon;Lucon;Lucon;;Lucon;;;;;;;;;x
germany_west_ruhr;Rhur - West;Rhur - Ouest;Ruhrgebiet - West;;Ruhr - Oeste;;;;;;;;;x
germany_south_west_ruhr;Rhur - South West;Rhur - Sud-Ouest;Ruhrgebiet - Südwest;;Ruhr - Sureste;;;;;;;;;x
germany_saar;Saarland;Saare;Saarland;;Sarre;;;;;;;;;x
germany_lorraine;Lorraine;Lorraine;Lorraine;;Lorena;;;;;;;;;x
germany_baden;Baden;Baden;Baden;;Baden;;;;;;;;;x
germany_holstein;Holstein;Holstein;Holstein;;Holstein;;;;;;;;;x
germany_mecklenburg;Mecklingburg;Mecklengburg;Mecklenburg;;Mecklingburg;;;;;;;;;x
germany_vorpommern;Western Pomerania;Poméranie Occidentale;Westpommern;;Pomerania Occidental;;;;;;;;;x
germany_hinterpommern;Eastern Pomerania;Poméranie Orientale;Ostpommern;;Pomerania Oriental;;;;;;;;;x
germany_berlin;Berlin;Berlin;Berlin;;Berlín;;;;;;;;;x
germany_neubrandenburg;Brandenburg;Brandenbourg;Brandenburg;;Brandeburgo;;;;;;;;;x
germany_magdeburg;Magdeburg;Magdebourg;Magdeburg;;Magdeburgo;;;;;;;;;x
germany_hamburg;Hamburg;Hambourg;Hamburg;;Hamburgo;;;;;;;;;x
germany_bremen;Bremen;Brême;Bremen;;Bremen;;;;;;;;;x
germany_norden;Norden;Nord;Norden;;Norden;;;;;;;;;x
germany_osnabruck;Osnabruck;Osnabruck;Osnabrück;;Osnabruck;;;;;;;;;x
germany_dusseldorf;Dusseldorf;Dusseldorf;Düsseldorf;;Dusseldorf;;;;;;;;;x
germany_dortmund;Dortmund;Dortmund;Dortmund;;Dortmund;;;;;;;;;x
germany_hannover;Hannover;Hannovre;Hannover;;Hannover;;;;;;;;;x
germany_minden;Minden;Minden;Minden;;Minden;;;;;;;;;x
germany_paderborn;Paderborn;Paderborn;Paderborn;;Paderborn;;;;;;;;;x
germany_frankfurt;Frankfort;Francfort;Frankfurt;;Francfort;;;;;;;;;x
germany_elbing;Elbing;Elbing;Elbing;;Elblag;;;;;;;;;x
germany_konigsberg;Konigsberg;Konigsberg;Königsberg;;Konigsberg;;;;;;;;;x
germany_tilsit;Tilsit;Tilsit;Tilsit;;Tilsit;;;;;;;;;x
germany_lyck;Lyck;Lyck;Lyck;;Lyck;;;;;;;;;x
germany_lauenburg;Lauenburg;Lauenburg;Lauenburg;;Lauenburg;;;;;;;;;x
germany_falkenburg;Falkenburg;Falkenburg;Falkenburg;;Falkenburg;;;;;;;;;x
germany_neudam;Neudam;Neudam;Neudam;;Neudam;;;;;;;;;x
germany_cottbus;Cottbus;Cottbus;Cottbus;;Cottbus;;;;;;;;;x
germany_fulda_gap;The Fulda Gap;Le Fulda Gap;Fuldatal;;La brecha de Fulda;;;;;;;;;x
germany_gottingen;Gottingen;Gottingen;Göttingen;;Gottingen;;;;;;;;;x
germany_darmstadt;Darmstadt;Darmstadt;Darmstadt;;Darmstadt;;;;;;;;;x
germany_balingen;Balingen;Balingen;Balingen;;Balingen;;;;;;;;;x
germany_mannheim;Mannheim;Mannheim;Mannheim;;Mannheim;;;;;;;;;x
germany_oberstdorf;Oberstdorf;Oberstdorf;Oberstdorf;;Oberstdorf;;;;;;;;;x
germany_ulm;Ulm;Ulm;Ulm;;Ulm;;;;;;;;;x
germany_stuttgart;Suttgart;Suttgart;Stuttgart;;Stuttgart;;;;;;;;;x
germany_murnau;Marnau;Marnau;Marnau;;Marnau;;;;;;;;;x
germany_traunstein;Traunstein;Traunstein;Traunstein;;Traunstein;;;;;;;;;x
germany_passau;Passau;Passau;Passau;;Passau;;;;;;;;;x
germany_augsburg;Augsburg;Augsbourg;Augsburg;;Augsburgo;;;;;;;;;x
germany_sorau;Sorau;Sorau;Sorau;;Sorau;;;;;;;;;x
germany_breslau;Breslau;Breslau;Breslau;;Wroclaw;;;;;;;;;x
germany_oppeln;Oppeln;Oppeln;Oppeln;;Oppeln;;;;;;;;;x
germany_ratibor;Ratibor;Ratibor;Ratibor;;Ratibor;;;;;;;;;x
germany_petersdorf;Petersdorf;Petersdorf;Petersdorf;;Petersdorf;;;;;;;;;x
germany_sebnitz;Sebnitz;Sebnitz;Sebnitz;;Sebnitz;;;;;;;;;x
germany_dresden;Dresden;Dresde;Dresden;;Dresde;;;;;;;;;x
germany_dessau;Dessau;Dessau;Dessau;;Dessau;;;;;;;;;x
germany_gera;Gera;Gera;Gera;;Gera;;;;;;;;;x
germany_chemnitz;Chemnitz;Chemnitz;Chemnitz;;Chemnitz;;;;;;;;;x
germany_sonderhausen;Sonderhausen;Sonderhausen;Sonderhausen;;Sonderhausen;;;;;;;;;x
germany_suhl;Suhl;Suhl;Suhl;;Suhl;;;;;;;;;x
germany_bayeruth;Bayeruth;Bayeruth;Bayreuth;;Bayeruth;;;;;;;;;x
germany_nurnberg;Nuremberg;Nuremberg;Nürnberg;;Nuremberg;;;;;;;;;x
germany_regensburg;Regensburg;Regensbourg;Regensburg;;Ratisbona;;;;;;;;;x
