##################################################;;;;;;;;;;;;;;x
# Decisions ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
cession_of_hatay_title;The Cession of Hatay;La cession de Hatay;Die Abtretung von Hatay;;La cesión de Hatay;;;;;;;;;x
cession_of_hatay_desc;After the Great War, Hatay (then known as Alexandretta) became part of the French Mandate of Syria. Alexandretta was confirmed as Syrian territory in the Treaty of Lausanne agreed upon by Atatürk in 1923, although it was granted a special autonomous status because of its large Turkish minority. However, following a series of border disputes, Atatürk obtained in 1937 an agreement with France recognizing Alexandretta as an independent state, called the Republic of Hatay. In 1938, Turkey crossed tens of thousands of Turks into Hatay, and the Turkish military forcibly expelled most of the other ethnicities. On 29 June 1939, following a referendum, Hatay was annexed to Turkey. France was accommodating to Turkish demands, its attention being focused on Germany. Syria bitterly disputed both the separation of Alexandretta and its subsequent annexation to Turkey.;"Après la Grande Guerre, Hatay (aussi connue comme Alexandretta) fut passé sous Mandat Français en Syrie. Le traité de Lausanne, signé par Atatürk en 1923, confirme Alexandretta comme faisant partie intégrante du territoire syrien, bien que la province se voit accorder plus d'autonomie sous un statut spécial, du fait de sa large minorité turque. En 1937, après une série d'incidents frontaliers, Atatürk obtient de la France un accord qui reconnaît Alexandretta comme un état souverain, sous le nom de "République de Hatay". En 1938, la Turquie fait traverser la frontière à plusieurs dizaines de milliers de Turques, ses soldats expulsant manu militari les habitants issus de la plupart des autres ethnies. Le 29 juin 1939, à la suite d'un référendum, Hatay fut annexé par la Turquie. La France dût se montrer conciliante envers les exigences turques, comme en ce temps son attention était focalisée sur l'Allemagne. La Syrie s'était farouchement opposée aussi bien à la séparation d'Alexandretta, que par la suite à son annexion par la Turquie.";Die Provinz Hatay(damals unter dem Namen Alexandrette bekannt) wurde 1918 von den Franzosen besetzt. Durch den Vertrag von Lausanne 1923 wurde Hatay als Syrische Provinz von der Türkei anerkannt, erhielt jedoch aufgrund ihrer hohen türkischen Minorität einen Sonderstatus als autonome Provinz, und blieb dadurch vom französischen Syrien getrennt. Mit dem Ablaufen des französischen Mandates über Syrien verstärkte die Türkei ab 1936 ihre Forderungen nach einem Anschluss des Gebietes und es kam zu wiederholten Grenzzwischenfällen. Um die Türkei vor einer Annäherung an Deutschland abzuhalten, kam Frankreich 1937 schließlich den türkischen Forderungen nach einer Loslösung vom syrischen Mandat entgegen. Dadurch wurde Hatay am 2. September 1938 ein unabhängiger Staat, genannt Staat Hatay. Dieser stand nun unter militärischen Schutz von Frankreich und der Türkei. 1939 kam es dann zu einen öffentlichen Referendum um die Zugehörigkeit der Provinz. Dazu ließ die Türkei tausende Türken ins Land bringen um die Abstimmung zu ihren Gunsten zu beeinflussen. Die Vereinigung mit der Türkischen Republik wurde dann vom Parlament der Republik Hatay am 29. Juni 1939 entschieden. Frankreich hatte bereits am 23. Juni 1939 den Anschluss in einem Vertrag mit der Türkei vereinbart.;;Después de la Gran Guerra, Hatay (conocido entonces como Alejandreta) llegó a formar parte del Protectorado francés de Siria. Alejandreta fue confirmado como territorio Sirio en el Tratado de Lausanne acordado por Atatürk en 1923; aunque le fue garantizado un status especial autónomo gracias a su amplia minoría turca. Sin embargo, tras una serie de disputas fronterizas, Atatürk obtuvo en 1937 un acuerdo con Francia reconociendo Alejandreta como un estado independiente, llamado la República de Hatay. En 1938, Turquía envió a miles de turcos a Hatay y sus fuerzas militares expulsaron por la fuerza a la mayoría del resto de las otras etnias. El 29 de junio de 1939, después de un referéndum, Hatay fue anexionado por Turquía, accediendo Francia a las demandas turcas, ya que ésta tenía puesta su atención en Alemania. Siria disputó amargamente tanto la separación de Alejandreta como su subsecuente anexión a Turquía.;;;;;;;;x
cession_of_hatay2_title;The Cession of Hatay;La cession de Hatay;Die Abtretung von Hatay;;La cesión de Hatay;;;;;;;;;x
cession_of_hatay2_desc;After the Great War, Hatay (then known as Alexandretta) became part of the French Mandate of Syria. Alexandretta was confirmed as Syrian territory in the Treaty of Lausanne agreed upon by Atatürk in 1923, although it was granted a special autonomous status because of its large Turkish minority. However, following a series of border disputes, Atatürk obtained in 1937 an agreement with France recognizing Alexandretta as an independent state, called the Republic of Hatay. In 1938, Turkey crossed tens of thousands of Turks into Hatay, and the Turkish military forcibly expelled most of the other ethnicities. On 29 June 1939, following a referendum, Hatay was annexed to Turkey. France was accommodating to Turkish demands, its attention being focused on Germany. Syria bitterly disputed both the separation of Alexandretta and its subsequent annexation to Turkey.;"Après la Grande Guerre, Hatay (aussi connue comme Alexandretta) fut passé sous Mandat Français en Syrie. Le traité de Lausanne, signé par Atatürk en 1923, confirme Alexandretta comme faisant partie intégrante du territoire syrien, bien que la province se voit accorder plus d'autonomie sous un statut spécial, du fait de sa large minorité turque. En 1937, après une série d'incidents frontaliers, Atatürk obtient de la France un accord qui reconnaît Alexandretta comme un état souverain, sous le nom de "République de Hatay". En 1938, la Turquie fait traverser la frontière à plusieurs dizaines de milliers de Turques, ses soldats expulsant manu militari les habitants issus de la plupart des autres ethnies. Le 29 juin 1939, à la suite d'un référendum, Hatay fut annexé par la Turquie. La France dût se montrer conciliante envers les exigences turques, comme en ce temps son attention était focalisée sur l'Allemagne. La Syrie s'était farouchement opposée aussi bien à la séparation d'Alexandretta, que par la suite à son annexion par la Turquie.";Die Provinz Hatay(damals unter dem Namen Alexandrette bekannt) wurde 1918 von den Franzosen besetzt. Durch den Vertrag von Lausanne 1923 wurde Hatay als Syrische Provinz von der Türkei anerkannt, erhielt jedoch aufgrund ihrer hohen türkischen Minorität einen Sonderstatus als autonome Provinz, und blieb dadurch vom französischen Syrien getrennt. Mit dem Ablaufen des französischen Mandates über Syrien verstärkte die Türkei ab 1936 ihre Forderungen nach einem Anschluss des Gebietes und es kam zu wiederholten Grenzzwischenfällen. Um die Türkei vor einer Annäherung an Deutschland abzuhalten, kam Frankreich 1937 schließlich den türkischen Forderungen nach einer Loslösung vom syrischen Mandat entgegen. Dadurch wurde Hatay am 2. September 1938 ein unabhängiger Staat, genannt Staat Hatay. Dieser stand nun unter militärischen Schutz von Frankreich und der Türkei. 1939 kam es dann zu einen öffentlichen Referendum um die Zugehörigkeit der Provinz. Dazu ließ die Türkei tausende Türken ins Land bringen um die Abstimmung zu ihren Gunsten zu beeinflussen. Die Vereinigung mit der Türkischen Republik wurde dann vom Parlament der Republik Hatay am 29. Juni 1939 entschieden. Frankreich hatte bereits am 23. Juni 1939 den Anschluss in einem Vertrag mit der Türkei vereinbart.;;Después de la Gran Guerra, Hatay (conocido entonces como Alejandreta) llegó a formar parte del Protectorado francés de Siria. Alejandreta fue confirmado como territorio Sirio en el Tratado de Lausanne acordado por Atatürk en 1923; aunque le fue garantizado un status especial autónomo gracias a su amplia minoría turca. Sin embargo, tras una serie de disputas fronterizas, Atatürk obtuvo en 1937 un acuerdo con Francia reconociendo Alejandreta como un estado independiente, llamado la República de Hatay. En 1938, Turquía envió a miles de turcos a Hatay y sus fuerzas militares expulsaron por la fuerza a la mayoría del resto de las otras etnias. El 29 de junio de 1939, después de un referéndum, Hatay fue anexionado por Turquía, accediendo Francia a las demandas turcas, ya que ésta tenía puesta su atención en Alemania. Siria disputó amargamente tanto la separación de Alejandreta como su subsecuente anexión a Turquía.;;;;;;;;x
uk_occupation_of_faroe_island_title;Control of Farao Island;Le contrôle du Farao Isle;;;;;;;;;;;;x
uk_occupation_of_faroe_island_desc;After the German occupation of Denmark in April 1940 British forces swiftly took possession of Iceland and the Faroe Islands to counter a possible threat of a German invasion.;À la suite de l'occupation du Danemark par les Allemands en avril 1940, les troupes britanniques prennent position en Islande et les Îsles Féroés afin d'empêcher une éventuelle invasion germanique.;Nach dem deutschen Einmarsch in Dänemark im April 1940 besetzten britische Streitkräfte umgehend Island und die Färöer, um einer möglichen deutschen Invasion entgegenwirken zu können.;;Tras la ocupación de Dinamarca por Alemania en abril de 1940, las fuerzas británicas invadieron Islandia y las Islas Feroes para contrarrestar la posible amenaza de una invasión alemana.;;;;;;;;;x
uk_occupation_of_iceland_title;Control of Iceland;Le contrôle du l'Islande;Kontrolle Islands;;Control de Islandia;;;;;;;;;x
uk_occupation_of_iceland_desc;After the German occupation of Denmark in April 1940 British forces swiftly took possession of Iceland and the Faroe Islands to counter a possible threat of a German invasion.;À la suite de l'occupation du Danemark par les Allemands en avril 1940, les troupes britanniques prennent position en Islande et les Îsles Féroés afin d'empêcher une éventuelle invasion germanique.;Nach dem deutschen Einmarsch in Dänemark im April 1940 besetzten britische Streitkräfte umgehend Island und die Färöer, um einer möglichen deutschen Invasion entgegenwirken zu können.;;Tras la ocupación de Dinamarca por Alemania en abril de 1940, las fuerzas británicas invadieron Islandia y las Islas Feroes para contrarrestar la posible amenaza de una invasión alemana.;;;;;;;;;x
uk_occupation_of_greenland_title;Control of Greenland;Le contrôle du Groenland;Kontrolle Grönlands;;Control de Groenlandia;;;;;;;;;x
uk_occupation_of_greenland_desc;After the German occupation of Denmark in April 1940 British forces swiftly took possession of Iceland and the Faroe Islands to counter a possible threat of a German invasion.;À la suite de l'occupation du Danemark par les Allemands en avril 1940, les troupes britanniques prennent position en Islande et les Îsles Féroés afin d'empêcher une éventuelle invasion germanique.;Nach dem deutschen Einmarsch in Dänemark im April 1940 besetzten britische Streitkräfte umgehend Island und die Färöer, um einer möglichen deutschen Invasion entgegenwirken zu können.;;Tras la ocupación de Dinamarca por Alemania en abril de 1940, las fuerzas británicas invadieron Islandia y las Islas Feroes para contrarrestar la posible amenaza de una invasión alemana.;;;;;;;;;x
uk_returns_faroes_to_denmark_title;Restoration of the Faroes;Restitution des îles Féroé;Wiederherstellung der Färöer;;La restauración de las Faroes;;;;;;;;;x
